Name,Kategorie,Wiki,YouTube,Info
Additional Encahnted Miner,Mining,https://github.com/Kotori316/QuarryPlus/wiki,https://www.youtube.com/watch?v=WLfT1gvlGoo,Quarries
Alex's Mobs,Mobs,https://alexs-mobs-unofficial.fandom.com/wiki/Alex%27s_Mobs_Unofficial_Wiki,https://www.youtube.com/watch?v=P1NuomHVYAM&t=35s,
Ars Nouveau,Magie,https://www.arsnouveau.wiki,https://www.youtube.com/watch?v=D7p2xL9ottw,Inklusive: Ars Additions & Ars Elemental
Biomes O' Plenty,Weltgenerierung,https://biomesoplenty.fandom.com/de/wiki/Inoffizielles_Biomes_O%27_Plenty_Wiki,https://www.youtube.com/watch?v=fqgOEucz8x4,
CC: Tweaked,Technik,https://tweaked.cc,https://www.youtube.com/playlist?list=PL9XabkF_A5YjFHJpJV5f5ta6cx81Ku_4k,Tutorials könnten veraltet sein
Chipped,Bauen,https://chipped.fandom.com/wiki/Chipped_Wiki,https://www.youtube.com/watch?v=VREpW7fLmXo,
Comforts,Schlafen,https://www.curseforge.com/minecraft/mc-mods/comforts,https://www.youtube.com/watch?v=48NJ1QOSHzM,
Construction Wand,Bauen QoL,https://www.curseforge.com/minecraft/mc-mods/construction-wand,https://www.youtube.com/watch?v=aXI7kdffYpc,
Crafting Tweaks,Quality of Life,https://mods.twelveiterations.com/mc/crafting-tweaks/,https://www.youtube.com/watch?v=2riw_5_ME1g,
Diagonal Fences,Bauen,https://www.curseforge.com/minecraft/mc-mods/diagonal-fences,https://www.youtube.com/shorts/Mxd08tDG1t4,
Engineer's Decor Ported,Dekoration,https://www.curseforge.com/minecraft/mc-mods/engineers-decor-ported,https://www.youtube.com/watch?v=lNxqb0bqRXQ,
FallingTree,Quality of Life,https://github.com/RakambdaOrg/FallingTree/wiki,https://www.youtube.com/shorts/381hH0iMP1M,
Farmer's Delight,Farming,https://github.com/vectorwing/FarmersDelight/wiki,https://www.youtube.com/watch?v=BY-c9gAiqMM,
Alex's Delight,Essen,https://www.curseforge.com/minecraft/mc-mods/alexs-delight,,Add-On für Farmer's Delight
Ocean's Delight,Essen,https://www.curseforge.com/minecraft/mc-mods/oceans-delight,,Add-On für Farmer's Delight
FramedBlocks,Bauen,https://www.curseforge.com/minecraft/mc-mods/framedblocks,https://www.youtube.com/watch?v=5HCs23N5FSc,
GraveStone Mod,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/gravestone-mod,https://www.youtube.com/watch?v=lK8D9NrSyWA,
Handcrafted,Dekoration,https://www.curseforge.com/minecraft/mc-mods/handcrafted,https://www.youtube.com/watch?v=_vsw-xZEmvM,
Immersive Aircraft,Fliegen,https://www.curseforge.com/minecraft/mc-mods/immersive-aircraft,https://www.youtube.com/watch?v=pn8S0RwEHRk,
Immersive Paintings,Dekoration,https://www.curseforge.com/minecraft/mc-mods/immersive-paintings,https://www.youtube.com/watch?v=yBORjieBr34,
Inventory Tweaks,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/inventory-tweaks-refoxed,https://www.youtube.com/watch?v=_9Ny4iCqT-c,
Iron Chests,Lager,https://www.curseforge.com/minecraft/mc-mods/iron-chests,https://www.youtube.com/watch?v=h4bTWIkOCec,Kein wirkliches Wiki
Iron Furnaces,Öfen,https://github.com/Qelifern/IronFurnaces/wiki,https://www.youtube.com/watch?v=aTsri2PvSis,
Iron Jetpacks,Fliegen,https://blakesmods.com/wiki/1.20/ironjetpacks,https://www.youtube.com/watch?v=_pHd7Qw9VKw,
Iron Shulker Boxes,Lager,https://www.curseforge.com/minecraft/mc-mods/iron-shulker-boxes,https://www.youtube.com/watch?v=58DDIx8cwW4,Kein wirkliches Wiki
Just Enough Items,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/jei,https://www.youtube.com/watch?v=c77g2imldpk,Inklusive einiger Add-Ons
Just Zoom,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/just-zoom,https://www.youtube.com/watch?v=ET73KXe0AFk,
Lucky Block,Random,https://www.curseforge.com/minecraft/mc-mods/lucky-block,,
Lucky TNT,Kaboom,https://www.curseforge.com/minecraft/mc-mods/luckytnt,https://www.youtube.com/playlist?list=PLe0MvAGZmMckk0cK3UeE5NKks9NFh7WfA,Playlist ziemlich unübersichtlich
More Bows and Arrows,Bögen,https://www.curseforge.com/minecraft/mc-mods/more-bows-and-arrows,https://www.youtube.com/watch?v=DV2TfvEhN3U,
Mouse Tweaks,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/mouse-tweaks,https://www.youtube.com/watch?v=-L6Mqk0ord8,
OpenBlocks Elevator,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/openblocks-elevator,https://www.youtube.com/watch?v=fikLtbwleyE,
Powah!,Stromerzeugung,https://www.curseforge.com/minecraft/mc-mods/powah,https://www.youtube.com/watch?v=CggB-gdA1ok,
Primal Magick,Magie,https://www.curseforge.com/minecraft/mc-mods/primal-magick,https://www.youtube.com/watch?v=gojlRb9bzhM,
Refined Storage,Lager,https://refinedmods.com/refined-storage/,https://www.youtube.com/watch?v=tMOR_qacjTk,"Inklusive: RSInfinityBooster\, Refined Storage Addons, Refined Storage Manual, Extra Storage & Extra Disks"
RightClickHarvest,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/rightclickharvest,https://www.youtube.com/shorts/fxzWOmb-AIU,
Simply Light,Dekoration,https://www.curseforge.com/minecraft/mc-mods/simply-light,https://www.youtube.com/watch?v=Oa2lBWSCQ1Y,
Small Ships,Schiffe,https://modrinth.com/mod/small-ships,https://www.youtube.com/watch?v=5DC_QfUuB9I,
Sophisticated Backpacks,Lager,https://www.curseforge.com/minecraft/mc-mods/sophisticated-backpacks,https://www.youtube.com/watch?v=5sjN6djPHm0,
Storage Drawers,Lager,https://www.curseforge.com/minecraft/mc-mods/storage-drawers,https://www.youtube.com/watch?v=Q8wjHVCOpFY,
The One Probe,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/the-one-probe,https://www.youtube.com/watch?v=fhB-vq_nGEg,
Thermal Cultivation,Farming,https://www.curseforge.com/minecraft/mc-mods/thermal-cultivation,https://www.youtube.com/playlist?list=PLQzDSnrhrcywdrfMi9Lq79XHHxTOjq7cj,Kein wirkliches Wiki; Playlist könnte veraltet sein
Thermal Dynamics,Flüssigkeiten/Item/Energie-Transport,https://teamcofh.com/docs/1.12/thermal-dynamics/,https://www.youtube.com/playlist?list=PLQzDSnrhrcywdrfMi9Lq79XHHxTOjq7cj,Wiki ist für 1.12; Playlist könnte veraltet sein
Thermal Expansion,Technik,https://teamcofh.com/docs/1.12/thermal-expansion/,https://www.youtube.com/playlist?list=PLQzDSnrhrcywdrfMi9Lq79XHHxTOjq7cj,Wiki ist für 1.12; Playlist könnte veraltet sein
Thermal Foundation,Weltgenerierung,https://teamcofh.com/docs/1.12/thermal-foundation/,https://www.youtube.com/playlist?list=PLQzDSnrhrcywdrfMi9Lq79XHHxTOjq7cj,Wiki ist für 1.12; Playlist könnte veraltet sein
Thermal Innovation,Tools,https://www.curseforge.com/minecraft/mc-mods/thermal-innovation,https://www.youtube.com/playlist?list=PLQzDSnrhrcywdrfMi9Lq79XHHxTOjq7cj,Kein wirkliches Wiki; Playlist könnte veraltet sein
Thermal Integration,Quality of Life,https://www.curseforge.com/minecraft/mc-mods/thermal-integration,https://www.youtube.com/playlist?list=PLQzDSnrhrcywdrfMi9Lq79XHHxTOjq7cj,Kein wirkliches Wiki; Playlist könnte veraltet sein
